[14:43:38] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:43:39] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:43:39] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:43:39] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:43:39] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:43:39] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:43:39] [ServerMain/INFO]: Reloading ResourceManager: Default
[14:43:41] [Worker-Main-10/INFO]: Loaded 7 recipes
[14:43:41] [Worker-Main-10/INFO]: Loaded 1141 advancements
[14:43:44] [Server thread/INFO]: Starting minecraft server version 1.18
[14:43:44] [Server thread/INFO]: Loading properties
[14:43:44] [Server thread/INFO]: Default game type: SURVIVAL
[14:43:44] [Server thread/INFO]: Generating keypair
[14:43:44] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:43:44] [Server thread/INFO]: Using default channel type
[14:43:45] [Server thread/INFO]: Preparing level "world"
[14:43:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[14:43:56] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[14:43:56] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[14:43:56] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[14:43:56] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[14:43:57] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[14:43:57] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[14:43:58] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[14:43:58] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[14:43:59] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[14:43:59] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[14:44:00] [Worker-Main-11/INFO]: Preparing spawn area: 1%
[14:44:00] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[14:44:01] [Worker-Main-14/INFO]: Preparing spawn area: 2%
[14:44:01] [Worker-Main-9/INFO]: Preparing spawn area: 2%
[14:44:02] [Worker-Main-14/INFO]: Preparing spawn area: 3%
[14:44:02] [Worker-Main-14/INFO]: Preparing spawn area: 3%
[14:44:03] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[14:44:03] [Worker-Main-12/INFO]: Preparing spawn area: 4%
[14:44:04] [Worker-Main-10/INFO]: Preparing spawn area: 5%
[14:44:04] [Worker-Main-13/INFO]: Preparing spawn area: 6%
[14:44:05] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[14:44:05] [Worker-Main-9/INFO]: Preparing spawn area: 7%
[14:44:06] [Worker-Main-14/INFO]: Preparing spawn area: 8%
[14:44:06] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[14:44:07] [Worker-Main-8/INFO]: Preparing spawn area: 10%
[14:44:07] [Worker-Main-10/INFO]: Preparing spawn area: 10%
[14:44:08] [Worker-Main-11/INFO]: Preparing spawn area: 11%
[14:44:08] [Worker-Main-12/INFO]: Preparing spawn area: 12%
[14:44:09] [Worker-Main-10/INFO]: Preparing spawn area: 13%
[14:44:09] [Worker-Main-14/INFO]: Preparing spawn area: 14%
[14:44:10] [Worker-Main-13/INFO]: Preparing spawn area: 15%
[14:44:10] [Worker-Main-11/INFO]: Preparing spawn area: 16%
[14:44:11] [Worker-Main-12/INFO]: Preparing spawn area: 18%
[14:44:11] [Worker-Main-8/INFO]: Preparing spawn area: 19%
[14:44:12] [Worker-Main-11/INFO]: Preparing spawn area: 19%
[14:44:12] [Worker-Main-13/INFO]: Preparing spawn area: 19%
[14:44:13] [Worker-Main-13/INFO]: Preparing spawn area: 20%
[14:44:13] [Worker-Main-11/INFO]: Preparing spawn area: 22%
[14:44:14] [Worker-Main-13/INFO]: Preparing spawn area: 22%
[14:44:14] [Worker-Main-11/INFO]: Preparing spawn area: 24%
[14:44:15] [Worker-Main-12/INFO]: Preparing spawn area: 25%
[14:44:15] [Worker-Main-12/INFO]: Preparing spawn area: 27%
[14:44:16] [Worker-Main-12/INFO]: Preparing spawn area: 28%
[14:44:16] [Worker-Main-10/INFO]: Preparing spawn area: 29%
[14:44:17] [Worker-Main-14/INFO]: Preparing spawn area: 30%
[14:44:17] [Worker-Main-11/INFO]: Preparing spawn area: 32%
[14:44:18] [Worker-Main-13/INFO]: Preparing spawn area: 33%
[14:44:18] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[14:44:19] [Worker-Main-11/INFO]: Preparing spawn area: 36%
[14:44:19] [Worker-Main-11/INFO]: Preparing spawn area: 36%
[14:44:20] [Worker-Main-8/INFO]: Preparing spawn area: 38%
[14:44:20] [Worker-Main-11/INFO]: Preparing spawn area: 40%
[14:44:21] [Worker-Main-11/INFO]: Preparing spawn area: 41%
[14:44:21] [Worker-Main-14/INFO]: Preparing spawn area: 41%
[14:44:22] [Worker-Main-11/INFO]: Preparing spawn area: 43%
[14:44:22] [Worker-Main-13/INFO]: Preparing spawn area: 44%
[14:44:23] [Worker-Main-12/INFO]: Preparing spawn area: 45%
[14:44:23] [Worker-Main-8/INFO]: Preparing spawn area: 47%
[14:44:24] [Worker-Main-9/INFO]: Preparing spawn area: 47%
[14:44:24] [Worker-Main-14/INFO]: Preparing spawn area: 48%
[14:44:25] [Worker-Main-13/INFO]: Preparing spawn area: 50%
[14:44:25] [Worker-Main-11/INFO]: Preparing spawn area: 52%
[14:44:26] [Worker-Main-13/INFO]: Preparing spawn area: 53%
[14:44:26] [Worker-Main-13/INFO]: Preparing spawn area: 55%
[14:44:27] [Worker-Main-12/INFO]: Preparing spawn area: 55%
[14:44:27] [Worker-Main-12/INFO]: Preparing spawn area: 56%
[14:44:28] [Worker-Main-11/INFO]: Preparing spawn area: 57%
[14:44:28] [Worker-Main-9/INFO]: Preparing spawn area: 59%
[14:44:29] [Worker-Main-11/INFO]: Preparing spawn area: 59%
[14:44:29] [Worker-Main-14/INFO]: Preparing spawn area: 62%
[14:44:30] [Worker-Main-11/INFO]: Preparing spawn area: 64%
[14:44:30] [Worker-Main-11/INFO]: Preparing spawn area: 64%
[14:44:31] [Worker-Main-8/INFO]: Preparing spawn area: 65%
[14:44:31] [Worker-Main-12/INFO]: Preparing spawn area: 68%
[14:44:32] [Worker-Main-11/INFO]: Preparing spawn area: 69%
[14:44:32] [Worker-Main-12/INFO]: Preparing spawn area: 69%
[14:44:33] [Worker-Main-12/INFO]: Preparing spawn area: 71%
[14:44:33] [Worker-Main-13/INFO]: Preparing spawn area: 72%
[14:44:34] [Worker-Main-14/INFO]: Preparing spawn area: 73%
[14:44:34] [Worker-Main-14/INFO]: Preparing spawn area: 74%
[14:44:35] [Worker-Main-14/INFO]: Preparing spawn area: 75%
[14:44:35] [Worker-Main-13/INFO]: Preparing spawn area: 77%
[14:44:36] [Worker-Main-14/INFO]: Preparing spawn area: 78%
[14:44:36] [Worker-Main-9/INFO]: Preparing spawn area: 81%
[14:44:37] [Worker-Main-12/INFO]: Preparing spawn area: 82%
[14:44:37] [Worker-Main-13/INFO]: Preparing spawn area: 83%
[14:44:38] [Worker-Main-10/INFO]: Preparing spawn area: 84%
[14:44:38] [Worker-Main-8/INFO]: Preparing spawn area: 85%
[14:44:39] [Worker-Main-14/INFO]: Preparing spawn area: 85%
[14:44:39] [Worker-Main-8/INFO]: Preparing spawn area: 87%
[14:44:40] [Worker-Main-11/INFO]: Preparing spawn area: 89%
[14:44:40] [Worker-Main-10/INFO]: Preparing spawn area: 90%
[14:44:41] [Worker-Main-12/INFO]: Preparing spawn area: 92%
[14:44:41] [Worker-Main-11/INFO]: Preparing spawn area: 93%
[14:44:42] [Worker-Main-14/INFO]: Preparing spawn area: 94%
[14:44:42] [Worker-Main-11/INFO]: Preparing spawn area: 95%
[14:44:43] [Worker-Main-13/INFO]: Preparing spawn area: 97%
[14:44:43] [Server thread/INFO]: Time elapsed: 48507 ms
[14:44:43] [Server thread/INFO]: Done (58.399s)! For help, type "help"
